Series Name,Country Name,2015,2016,2017,2018,2019,2020
"School enrollment, tertiary, female (% gross)",Afghanistan,..,..,..,4.905079842,..,5.82310009
"School enrollment, tertiary, female (% gross)",Albania,73.53012085,70.07676697,69.81036377,67.57861328,73.3405304,71.36869049
"School enrollment, tertiary, female (% gross)",Algeria,45.04758072,53.59891129,57.24470901,64.42080688,66.09423828,66.42427826
"School enrollment, tertiary, female (% gross)",American Samoa,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Andorra,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Angola,7.400539875,8.453249931,8.348338127,8.06979084,10.01244736,..
"School enrollment, tertiary, female (% gross)",Antigua and Barbuda,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Argentina,104.5159073,109.1672134,112.798439,114.6464462,120.2840424,125.9945297
"School enrollment, tertiary, female (% gross)",Armenia,50.51742172,57.1154213,58.67676163,62.64839172,59.44847107,60.71512985
"School enrollment, tertiary, female (% gross)",Aruba,21.37302017,20.69791985,..,..,..,..
"School enrollment, tertiary, female (% gross)",Australia,140.9517517,143.0235291,133.3377686,124.4397583,133.8474731,133.1578827
"School enrollment, tertiary, female (% gross)",Austria,88.00540924,90.82588959,92.46150208,94.63156128,95.31774139,96.91481018
"School enrollment, tertiary, female (% gross)",Azerbaijan,27.48077965,28.1330204,29.03384972,29.69345093,34.01358032,38.48448944
"School enrollment, tertiary, female (% gross)","Bahamas, The",..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Bahrain,59.30615997,62.99214935,64.26850891,67.84062958,73.91719818,78.51046753
"School enrollment, tertiary, female (% gross)",Bangladesh,11.0752697,14.6811409,14.91032982,16.97964859,20.01444244,21.43236351
"School enrollment, tertiary, female (% gross)",Barbados,..,..,..,..,..,..
"School enrollment, tertiary, female (% gross)",Belarus,102.6146011,99.74855042,98.34384918,95.0921402,93.49079132,92.33138275
"School enrollment, tertiary, female (% gross)",Belgium,84.66545105,86.02861786,90.46260834,89.73699951,92.23223877,93.15634918
